,balance,inflow,interest,outflow,period
335,96827650.51275308,,,,2023-04-27 00:00:00.000
336,96827650.51275308,,,,2023-04-26 00:00:00.000
337,96827650.51275308,,9348.127836821915,,2023-04-25 00:00:00.000
338,98395193.08643813,,,,2023-04-24 00:00:00.000
339,98395193.08643813,,,,2023-04-23 00:00:00.000
340,98395193.08643813,,,,2023-04-22 00:00:00.000
341,98395193.08643813,,8044.993510862345,,2023-04-21 00:00:00.000
342,104387148.09292728,,,,2023-04-20 00:00:00.000
343,104387148.09292728,,,,2023-04-19 00:00:00.000
344,104387148.09292728,,7678.303034863675,,2023-04-18 00:00:00.000
345,104399507.05570385,,,,2023-04-17 00:00:00.000
346,104399507.05570385,,2615.154884666864,,2023-04-16 00:00:00.000
347,104411892.49990809,,2342.765876373833,,2023-04-15 00:00:00.000
348,104429573.18825445,,2033.9381503960617,,2023-04-14 00:00:00.000
349,104428825.2699796,,3176.196598611931,423565.2922175604,2023-04-13 00:00:00.000
350,104849214.36559854,,4048.068351533213,,2023-04-12 00:00:00.000
351,109845166.29724701,,3633.276743717974,,2023-04-11 00:00:00.000
352,109841514.02050328,,757.3345118305689,,2023-04-10 00:00:00.000
353,109840915.6416355,242898.8299149763,11119.256887971824,,2023-04-09 00:00:00.000
354,109586897.55483256,,,,2023-04-08 00:00:00.000
355,109586897.55483256,,,,2023-04-07 00:00:00.000
356,109586897.55483256,,16382.047792114832,,2023-04-06 00:00:00.000
357,109550516.56748432,,,,2023-04-05 00:00:00.000
358,109550516.56748432,,,,2023-04-04 00:00:00.000
359,109550516.56748432,,,,2023-04-03 00:00:00.000
360,109550516.56748432,,,,2023-04-02 00:00:00.000
361,109550516.56748432,,,,2023-04-01 00:00:00.000
362,109550516.56748432,,2211.672356025385,,2023-03-31 00:00:00.000
363,109468311.88162771,,2898.8967720963387,,2023-03-30 00:00:00.000
364,109265412.9848556,,9265.433550747008,,2023-03-29 00:00:00.000
365,109255997.55130486,,,,2023-03-28 00:00:00.000
366,109255997.55130486,,,,2023-03-27 00:00:00.000
367,109255997.55130486,,4318.7708206244315,,2023-03-26 00:00:00.000
368,109254394.78623389,,19609.827341245527,,2023-03-25 00:00:00.000
369,109235005.56889264,,,,2023-03-24 00:00:00.000
370,109235005.56889264,,,,2023-03-23 00:00:00.000
371,109235005.56889264,,,,2023-03-22 00:00:00.000
372,109235017.60225062,,,,2023-03-21 00:00:00.000
373,109235017.60225062,,,,2023-03-20 00:00:00.000
374,109235017.60225062,,,,2023-03-19 00:00:00.000
375,109235017.60225062,,8321.977054877474,501682.0640649412,2023-03-18 00:00:00.000
376,109728377.68926069,,,,2023-03-17 00:00:00.000
377,109728377.68926069,,569.1887134913319,0.007496826023270842,2023-03-16 00:00:00.000
378,109727808.50804402,499195.4325266979,4537.367581769422,,2023-03-15 00:00:00.000
379,109224075.70793556,,1340.5555894005217,19547.891153643362,2023-03-14 00:00:00.000
380,109242283.0434998,,2754.1001158588865,,2023-03-13 00:00:00.000
381,107664460.20987481,,3038.242023812139,177421.37243124458,2023-03-12 00:00:00.000
382,107838843.34028225,,6882.558753531181,55043.7474239484,2023-03-11 00:00:00.000
383,107887004.52895266,,,,2023-03-10 00:00:00.000
384,107887004.52895266,,11875.755870568944,,2023-03-09 00:00:00.000
385,107800740.8354617,,,,2023-03-08 00:00:00.000
386,107800740.8354617,,,,2023-03-07 00:00:00.000
387,107800740.8354617,,,,2023-03-06 00:00:00.000
388,107800740.8354617,,9889.411351295446,,2023-03-05 00:00:00.000
389,107796946.51649776,,,,2023-03-04 00:00:00.000
390,107796946.51649776,,,,2023-03-03 00:00:00.000
391,107796946.51649776,,14042.670956299295,,2023-03-02 00:00:00.000
392,107782893.84554146,,,,2023-03-01 00:00:00.000
393,107782893.84554146,,,,2023-02-28 00:00:00.000
394,107782893.84554146,,,,2023-02-27 00:00:00.000
395,107782893.84554146,,,,2023-02-26 00:00:00.000
396,107782893.84554146,,6732.96670869815,,2023-02-25 00:00:00.000
397,107776262.46049961,,,,2023-02-24 00:00:00.000
398,107776262.46049961,,1827.2238473506043,,2023-02-23 00:00:00.000
399,107744435.23665227,159030.00000000003,1482.270784600839,,2023-02-22 00:00:00.000
400,107583922.96586767,70000110.00000001,1508.9962394146328,,2023-02-21 00:00:00.000
401,37582303.96962825,,2173.5899779121028,,2023-02-20 00:00:00.000
402,37581290.1002889,,,,2023-02-19 00:00:00.000
403,37581290.1002889,,389.88552472764786,,2023-02-18 00:00:00.000
404,37581329.09809137,999698.5967640769,1386.0654784232945,,2023-02-17 00:00:00.000
405,36580244.43584887,,2320.0205091265857,7109.55,2023-02-16 00:00:00.000
406,36585033.96533974,,,,2023-02-15 00:00:00.000
407,36585033.96533974,,2579.8591765386395,,2023-02-14 00:00:00.000
408,36821629.71001601,,,,2023-02-13 00:00:00.000
409,36821629.71001601,,,,2023-02-12 00:00:00.000
410,36821629.71001601,,2808.995325140825,,2023-02-11 00:00:00.000
411,36778570.24479674,,,,2023-02-10 00:00:00.000
412,36778570.24479674,,,,2023-02-09 00:00:00.000
413,36778570.24479674,,2251.498128848604,991.3746931711212,2023-02-08 00:00:00.000
414,36777310.12136106,,,,2023-02-07 00:00:00.000
415,36777310.12136106,999987.2076214226,1695.1410372989121,,2023-02-06 00:00:00.000
416,35775627.772702344,,,,2023-02-05 00:00:00.000
417,35775627.772702344,,1469.6060197537233,,2023-02-04 00:00:00.000
418,35824762.12818474,,2934.9213493437096,,2023-02-03 00:00:00.000
419,35821964.564080626,,,,2023-02-02 00:00:00.000
420,35821964.564080626,,,,2023-02-01 00:00:00.000
421,35821964.564080626,,3884.397923346643,,2023-01-31 00:00:00.000
422,35818080.166157275,,,,2023-01-30 00:00:00.000
423,35818080.166157275,,,,2023-01-29 00:00:00.000
424,35818080.166157275,,,,2023-01-28 00:00:00.000
425,35818080.166157275,,2549.646413151303,,2023-01-27 00:00:00.000
426,35815530.50974412,,,,2023-01-26 00:00:00.000
427,35815530.50974412,,,,2023-01-25 00:00:00.000
428,35815530.50974412,,1060.2526953178615,21168.737075649376,2023-01-24 00:00:00.000
429,35835638.99412446,,3862.3155011861136,292659.53253604507,2023-01-23 00:00:00.000
430,36124436.21115932,,,,2023-01-22 00:00:00.000
431,36124436.21115932,,,,2023-01-21 00:00:00.000
432,36124436.21115932,,,,2023-01-20 00:00:00.000
433,36124436.21115932,,1187.2148833973642,,2023-01-19 00:00:00.000
434,36123248.996275924,,752.9271644389086,,2023-01-18 00:00:00.000
435,36122596.17911149,844744.189815789,828.6246468797436,,2023-01-17 00:00:00.000
436,35277023.36464882,,1375.2017869282524,,2023-01-16 00:00:00.000
437,34231661.742262796,,2572.2967482997683,,2023-01-15 00:00:00.000
438,33642745.82824431,,,,2023-01-14 00:00:00.000
439,33642745.82824431,,,,2023-01-13 00:00:00.000
440,33642745.82824431,,1684.051182308606,,2023-01-12 00:00:00.000
