,dt,maturity,outflow,outflow_dai_only,outflow_surplus_buffer,total_period
4535,2022-02-24 00:00:00+00:00,1-year,5803264374.871597,5738941748.871162,64322626.00043435,9541705602.078955
4536,2022-02-23 00:00:00+00:00,3-months,432906095.76523715,432906095.76523715,0.0,9814057253.222193
4537,2022-02-23 00:00:00+00:00,1-week,1268817291.9355466,1268817291.9355466,0.0,9814057253.222193
4538,2022-02-23 00:00:00+00:00,1-block,962272044.6619045,962272044.6619045,0.0,9814057253.222193
4539,2022-02-23 00:00:00+00:00,1-year,5894375644.6233835,5830435878.8822565,63939765.74112697,9814057253.222193
4540,2022-02-23 00:00:00+00:00,1-day,962272044.6619045,962272044.6619045,0.0,9814057253.222193
4541,2022-02-23 00:00:00+00:00,1-month,293414131.5742163,293414131.5742163,0.0,9814057253.222193
4542,2022-02-22 00:00:00+00:00,1-year,5900491830.715241,5836799513.172249,63692317.54299233,9844893350.420193
4543,2022-02-22 00:00:00+00:00,1-block,966594917.1296766,966594917.1296766,0.0,9844893350.420193
4544,2022-02-22 00:00:00+00:00,1-week,1278455828.2003284,1278455828.2003284,0.0,9844893350.420193
4545,2022-02-22 00:00:00+00:00,3-months,436741901.6693661,436741901.6693661,0.0,9844893350.420193
4546,2022-02-22 00:00:00+00:00,1-day,966594917.1296766,966594917.1296766,0.0,9844893350.420193
4547,2022-02-22 00:00:00+00:00,1-month,296013955.5759037,296013955.5759037,0.0,9844893350.420193
4548,2022-02-21 00:00:00+00:00,1-block,971726209.7751853,971726209.7751853,0.0,9874417901.315
4549,2022-02-21 00:00:00+00:00,1-year,5896700025.285407,5833273480.860296,63426544.425110534,9874417901.315
4550,2022-02-21 00:00:00+00:00,1-month,299816149.25532126,299816149.25532126,0.0,9874417901.315
4551,2022-02-21 00:00:00+00:00,3-months,442351695.62260514,442351695.62260514,0.0,9874417901.315
4552,2022-02-21 00:00:00+00:00,1-week,1292097611.6012964,1292097611.6012964,0.0,9874417901.315
4553,2022-02-21 00:00:00+00:00,1-day,971726209.7751853,971726209.7751853,0.0,9874417901.315
4554,2022-02-20 00:00:00+00:00,1-day,977865997.7257148,977865997.7257148,0.0,9930837779.075895
4555,2022-02-20 00:00:00+00:00,1-month,302230515.88780767,302230515.88780767,0.0,9930837779.075895
4556,2022-02-20 00:00:00+00:00,1-week,1301859551.1894946,1301859551.1894946,0.0,9930837779.075895
4557,2022-02-20 00:00:00+00:00,1-year,5925101840.6471195,5862085918.868343,63015921.77877535,9930837779.075895
4558,2022-02-20 00:00:00+00:00,1-block,977865997.7257148,977865997.7257148,0.0,9930837779.075895
