Cycle Day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,Step
2022-09-14 00:00:00+00:00,2184799996.085094,405830661.29634595,70930423.61918163,180023237.25867844,206835839.79332945,1128526203.5026078,4307502419.038971,After
2022-09-15 00:00:00+00:00,2039636158.793651,409686362.7871058,97421547.2320509,177448206.62884903,211418014.6388876,1138679746.7698197,4262470460.1999054,After
2022-09-16 00:00:00+00:00,1849571814.8432422,283321413.74759984,-220098452.03571033,169731380.2325325,180453351.1385977,1009733017.3254838,4905619903.164627,After
2022-09-17 00:00:00+00:00,1957081810.0934558,324054049.67277646,-174903239.3204546,168726130.93216324,186758944.70428678,1032166690.2289262,4774697246.85318,After
2022-09-18 00:00:00+00:00,1790273674.3520312,319083572.17636037,-139877908.5768633,164380483.78106308,192169223.15462705,1063381605.330275,4737052803.746796,After
2022-09-19 00:00:00+00:00,1840330026.8835254,328523396.8830769,-146111408.11768055,159164791.69903183,195351951.60056517,1084423272.2247148,4621213928.437958,After
2022-09-20 00:00:00+00:00,1818775010.0005298,382278738.8596413,-126213213.3465929,157103357.78100967,200148317.19635984,1114922125.3336625,4544599051.789627,After
2022-09-21 00:00:00+00:00,1686223419.2804065,367583166.95320916,-103754270.88197803,155386669.5673561,203808495.70269987,1114679036.7136674,4504965214.007416,After
2022-09-22 00:00:00+00:00,1816488677.5781665,388567846.9857085,-68492288.15312672,156755967.87031937,206027642.91000578,1183905125.9329057,4386106534.734436,After
2022-09-23 00:00:00+00:00,1670352464.842113,303756154.38381124,-349837338.02396107,146428422.20511246,170509854.79343626,1004210830.8520341,5105479979.578247,After
2022-09-24 00:00:00+00:00,1763574994.47401,346132988.6810982,-312273852.4981127,147743997.71416092,177411807.19111845,1052317530.3439469,4951089250.21933,After
2022-09-25 00:00:00+00:00,1689253058.891521,362978739.11520123,-255374381.50044727,149953452.1410408,184541629.46419737,1087244119.2734513,4833285082.046417,After
2022-09-26 00:00:00+00:00,1762471687.8903613,373055822.93684983,-211921426.4493456,152631155.00723648,189101819.12667677,1118526761.4147782,4700601450.5737,After
2022-09-27 00:00:00+00:00,1747814755.3212085,412668508.21729684,-148653606.39581776,155964862.00906754,195532148.43465254,1135026585.8382707,4586975340.866318,After
2022-09-28 00:00:00+00:00,1818039414.8544726,397685714.13023686,-120572369.27769947,159027275.58080673,198753957.5972006,1158561154.9974198,4430014683.301605,After
2022-09-29 00:00:00+00:00,1799166085.2315784,424240718.58649373,-241182239.67924976,156706781.426548,207768047.90239164,1163023556.2666154,4438425481.470139,After
2022-09-30 00:00:00+00:00,1693298077.0458484,355007810.79504704,-548002083.7703753,133510115.94459915,164368255.37338468,1037746275.6850114,5131322354.25592,After
2022-10-01 00:00:00+00:00,1799573654.9284472,373116801.8449323,-96037366.93207264,138753703.10575485,179504055.44283125,1062593479.4692216,4974550153.125122,After
2022-10-02 00:00:00+00:00,1774486079.6753497,375866895.15294766,-14524382.148991585,141252684.178257,187616671.16797468,1084346737.6559587,4830316575.978378,After
2022-10-03 00:00:00+00:00,1837431586.6885486,381507266.34227824,63103360.51197338,144067383.4675331,194505146.5917532,1100926566.5410905,4657133525.749084,After
2022-10-04 00:00:00+00:00,1911794946.3983111,404619382.84123397,176516414.17148876,148196354.5275917,201403391.70754835,1115892875.3337235,4536558737.854965,After
2022-10-05 00:00:00+00:00,1897665673.6901965,404211708.68379617,249494566.63462353,150594624.68842697,206997434.98418257,1124396677.310988,4430083871.697662,After
2022-10-06 00:00:00+00:00,1956527271.8926501,413200122.82783484,344163169.849803,155037818.64571,211823674.13908598,1100016990.928969,4312496235.55452,After
2022-10-07 00:00:00+00:00,1772506186.4130054,346193758.5680864,-23640122.275242805,139996720.96978378,174257122.6121237,999340707.2463822,4996327651.925812,After
2022-10-08 00:00:00+00:00,1801535319.7989154,344327166.10997033,61056713.88373852,144981838.04911423,182540946.63557264,1022211786.4018083,4840487781.948776,After
2022-10-09 00:00:00+00:00,1812095726.2166553,346403189.4034674,139427461.89600658,148965512.06383133,190076286.72122023,1041984591.6233964,4702539203.11644,After
2022-10-10 00:00:00+00:00,1778692392.7208972,351780117.06419635,200124301.11579418,153078534.67370987,196856338.31936857,1062832674.8123612,4563114803.493439,After
2022-10-11 00:00:00+00:00,1758876757.8880572,353160042.9673507,249399385.68940258,156237706.2455864,202238402.21022245,1082733927.9217057,4435536549.506058,After
2022-10-12 00:00:00+00:00,1799622415.113109,359017417.1526711,280930869.3649702,173416164.79152298,207876543.9477522,1077342258.2027726,4359948871.120911,After
2022-10-13 00:00:00+00:00,1746675478.0039783,348023071.45124125,314527035.80300426,174051443.9830284,212702146.61659834,833213781.3191667,4406910553.309265,After
2022-10-14 00:00:00+00:00,1672774938.4194293,310205749.59121823,32459083.97471142,167813386.82369614,178831354.03791258,653302481.6616044,5079872066.748459,After
2022-10-15 00:00:00+00:00,1674903656.682918,316811447.10173154,72810897.6687727,178251798.58607864,184303494.0686247,727225214.9199052,4910730479.559036,After
2022-10-16 00:00:00+00:00,1745649358.1234546,320945444.0198777,133741361.11870861,189079654.4011879,190696983.08103773,709890410.4852433,4800529128.731766,After
2022-10-17 00:00:00+00:00,1801045107.8705707,341593983.1319163,239473962.11606884,198478501.83322525,198261191.61259672,631164175.3560929,4695024867.603714,After
2022-10-18 00:00:00+00:00,1841439924.8177142,359745276.53102994,281480024.5099592,208435560.88331985,202256640.61816236,655078594.1808305,4580132878.611481,After
2022-10-19 00:00:00+00:00,1783865499.0815082,368886229.576699,305975259.4846144,213231583.74272537,207057320.9006941,555969521.0522294,4513097105.06633,After
2022-10-20 00:00:00+00:00,1785026337.7603412,382685649.5144217,356436532.4478102,223845384.40882492,211170050.90716764,525583084.1337723,4365134217.092743,After
2022-10-21 00:00:00+00:00,1654703867.53297,299299760.24705815,26212195.73714733,210638135.82834244,174615328.76986143,430479705.022078,5001336635.913086,After
2022-10-22 00:00:00+00:00,1724743949.8890033,309136756.7998426,100728899.45077038,216603195.37420273,182468199.1497862,429950186.2494034,4860417978.589813,After
2022-10-23 00:00:00+00:00,1802428279.1466327,330230660.4275782,180295094.58419323,221705487.55836868,189416208.14268705,432737599.76557773,4743667500.335785,After
2022-10-24 00:00:00+00:00,1845302648.4359698,363609356.64687705,250476725.75828075,226695982.8017311,195890658.5155737,443980563.0700516,4615460274.0104065,After
